Layer	Parameter	Value	P_value	Source_Hypothesis	Interpretation
Layer 1: Landscape Remodeling	4mC promoter-expression correlation	rho=0.139	8.26e-4	H1	4mC is the dominant modification linked to expression
Layer 1: Landscape Remodeling	4mC T2vsT1 robust correlation	r=0.125	0.002 (perm)	Pre-loop	Confirmed by permutation test
Layer 1: Landscape Remodeling	CCGG site positional overlap	Jaccard=0.000	N/A	H7	Complete positional turnover between timepoints
Layer 1: Landscape Remodeling	AAGCCCG site loss	260 sites	N/A	H5	MTase downregulation leads to wholesale site loss
Layer 1: Landscape Remodeling	6mA T2vsT1 correlation	Lost	NS after T3 reseq	Pre-loop	6mA correlation was artifactual (coverage bias)
Layer 1: Landscape Remodeling	T1 CCGG core genome fraction	77%	N/A	H7	CCGG sites concentrated in core at T1
Layer 1: Landscape Remodeling	T2 CCGG arms fraction	89%	N/A	H7	Geographic shift to chromosomal arms at T2
Layer 1: Landscape Remodeling	5mC misclassification excluded	5mC=0.01%	N/A	H9	CCGG 4mC is genuine N4-cytosine modification
Layer 2: Protection/Depletion	TF binding site methylation fold	0.66	6.8e-5	Pre-loop	Methylation depleted at TF binding sites
Layer 2: Protection/Depletion	Sigma -10 box depletion	Depleted	1.73e-12	Pre-loop	Methylation actively excluded from promoter elements
Layer 2: Protection/Depletion	Literature TFs methylation rate	8% (3/37)	N/A	H4	Key TFs are in the protected zone
Layer 2: Protection/Depletion	SARP activator methylation	0% (0/4)	N/A	H4	Pathway-specific activators completely unmethylated
Layer 2: Protection/Depletion	DMG functional enrichment	NONE	All NS	Pre-loop	Methylation is position-dependent, function-independent
Layer 2: Protection/Depletion	TF BS methylation lost T2T3	75%	N/A	Pre-loop	Methylation at regulatory regions is transient
Layer 3: Signal Gating	Total regulatory genes screened	1,055	N/A	H6	25 families from GFF annotation
Layer 3: Signal Gating	Methylated regulatory genes	165 (15.6%)	N/A	H6	2.3x higher than literature 37 rate (6.7%)
Layer 3: Signal Gating	Coordinated regulators	62	N/A	H6	All outside literature 37 list
Layer 3: Signal Gating	T3 discordant_gain_up arm enrichment	87% at arms	0.001 (OR=8.05)	H8	Geographic specificity at late timepoint
Layer 3: Signal Gating	COG T enrichment	OR=2.47	0.045	H8	Signal transduction enriched
Layer 3: Signal Gating	TCS asymmetric pairs	7	N/A	H8	Sensor kinase methylated, response regulator free
Layer 3: Signal Gating	Highest methylation family	MerR 28.6%	N/A	H6	Metal-sensing regulators most targeted
Layer 3: Signal Gating	SARP methylation rate	0%	N/A	H6	Pathway-specific activators completely excluded
